Gamma,Alpha,Eta,Run_Index,Live_Topics,LL_per_word,Weighted_NPMI,Weighted_Cv,Unweighted_NPMI,Unweighted_Cv,Perplexity,Weighted_Renyi_Entropy,JSD_Diversity,Iterations,Converged,Time_sec
0.1,0.05,0.5,1,3,-6.559427544,0.009737775,0.4751843,-0.133704759,0.493773407,705.8675012,5.698898723,0.671689449,1060,Yes,9.007347107
0.1,0.05,0.5,2,2,-6.576575559,0.021235834,0.486272455,-0.264272336,0.519903653,718.0761046,5.725501571,0.725419299,1060,Yes,8.756516933
0.1,0.05,0.5,3,3,-6.577227664,0.020810412,0.485887251,-0.133589467,0.480630611,718.5445187,5.72764598,0.847044549,1060,Yes,8.555921316
0.1,0.05,0.5,4,3,-6.562855934,0.014474432,0.476324703,-0.131331142,0.480024682,708.2916427,5.710055176,0.712380204,1060,Yes,8.816077232
0.1,0.05,0.5,5,3,-6.554558408,0.0156035,0.476324453,-0.262032608,0.509652778,702.4388898,5.696036336,0.703008416,1060,Yes,8.96720171
0.1,0.05,1,1,3,-6.577013856,0.021363362,0.486062411,-0.18893159,0.480887808,718.3909043,5.747917244,0.814963078,1060,Yes,9.257017612
0.1,0.05,1,2,2,-6.576235835,0.021292388,0.486198569,-0.264272336,0.519903653,717.8321987,5.75029509,0.722206581,1060,Yes,8.757799625
0.1,0.05,1,3,3,-6.574832656,0.021232763,0.485370513,-0.129389183,0.458334315,716.8256579,5.749516134,0.848249367,1060,Yes,8.941875219
0.1,0.05,1,4,2,-6.574318926,0.021376416,0.486088792,-0.1689691,0.508518391,716.4574976,5.753716984,0.776386051,1060,Yes,9.12717104
0.1,0.05,1,5,3,-6.557453405,0.013140999,0.450705555,-0.13164419,0.460681708,704.4753946,5.73903482,0.677738242,1060,Yes,8.869834661
0.1,0.05,2,1,2,-6.586588191,0.010237885,0.475682084,-0.176241981,0.501863486,725.3020514,5.800624661,0.785552793,1060,Yes,9.01755929
0.1,0.05,2,2,2,-6.588676663,0.013041848,0.478483003,-0.174528906,0.503676066,726.8184077,5.798936044,0.778882917,1070,Yes,9.136777401
0.1,0.05,2,3,2,-6.585956247,0.01299829,0.478482769,-0.174528906,0.503676066,724.8438458,5.798150581,0.786207211,1060,Yes,9.281356812
0.1,0.05,2,4,2,-6.587797261,0.021455838,0.485985032,-0.1689691,0.508518391,726.179523,5.811012588,0.77544878,1060,Yes,9.205964327
0.1,0.05,2,5,2,-6.592058415,0.008454607,0.463597316,-0.271040368,0.508686935,729.2804882,5.817274799,0.725051925,1060,Yes,8.887378931
0.1,0.05,5,1,2,-6.631428746,0.021439023,0.486006999,-0.1689691,0.508518391,758.5651935,5.946092313,0.77842657,1060,Yes,9.004714489
0.1,0.05,5,2,2,-6.631501328,0.021033143,0.484829095,-0.169342779,0.507875957,758.6202543,5.946801076,0.785564562,1060,Yes,9.303326607
0.1,0.05,5,3,2,-6.630146304,0.010626533,0.47574823,-0.176241981,0.501863486,757.5930012,5.945428127,0.785900709,1060,Yes,8.992880583
0.1,0.05,5,4,2,-6.630530936,0.021569297,0.485836804,-0.1689691,0.508518391,757.8844519,5.944143998,0.779084972,1060,Yes,8.902000666
0.1,0.05,5,5,2,-6.636258745,0.01076526,0.464463579,-0.177528176,0.49320038,762.2379253,5.961299457,0.772256694,1060,Yes,8.816162586
0.1,0.1,0.01,1,5,-6.680175886,0.020915098,0.485625242,-0.061793036,0.474765308,796.4591859,5.681893649,0.929492298,1060,Yes,9.350089788
0.1,0.1,0.01,2,8,-6.683806782,0.00655972,0.441123799,-0.086473211,0.45014785,799.3563024,5.68548051,0.93967389,1060,Yes,9.759247541
0.1,0.1,0.01,3,5,-6.657527472,0.010383121,0.493340426,-0.085924649,0.465256806,778.623387,5.744568621,0.956363371,1060,Yes,9.355126143
