node_id,renyi_entropy_corrected,nonzero_word_count,total_vocabulary_size,sparsity_ratio,alpha_prior,renyi_alpha,iteration,document_count,layer,parent_id,child_ids,child_count
35160,6.109999179943678,35,1490,0.023489932885906,0.2,2.0,170,2,2,33969.0,,0
35166,6.26513394747072,36,1490,0.0241610738255033,0.2,2.0,170,2,2,1.0,,0
35167,6.574645031595203,31,1490,0.0208053691275167,0.2,2.0,170,2,2,8518.0,,0
35174,5.568570729516943,104,1490,0.0697986577181208,0.2,2.0,170,5,2,31487.0,,0
35175,6.533994111831025,38,1490,0.0255033557046979,0.2,2.0,170,5,2,2255.0,,0
35177,5.862059589544626,31,1490,0.0208053691275167,0.2,2.0,170,3,2,12933.0,,0
35180,5.686640242110606,79,1490,0.0530201342281879,0.2,2.0,170,7,2,2071.0,,0
35188,7.258467339147007,3,1490,0.0020134228187919,0.2,2.0,170,1,2,35044.0,,0
35194,6.457562167481587,39,1490,0.0261744966442953,0.2,2.0,170,3,2,97.0,,0
35202,6.094745540493856,39,1490,0.0261744966442953,0.2,2.0,170,3,2,53.0,,0
35206,6.773995288802613,17,1490,0.0114093959731543,0.2,2.0,170,1,2,34928.0,,0
35209,6.368884041422723,51,1490,0.034228187919463,0.2,2.0,170,2,2,10971.0,,0
35211,6.739640892137492,39,1490,0.0261744966442953,0.2,2.0,170,4,2,114.0,,0
35214,6.187051875579423,47,1490,0.0315436241610738,0.2,2.0,170,2,2,114.0,,0
35225,6.288788247206596,43,1490,0.0288590604026845,0.2,2.0,170,4,2,6175.0,,0
35230,6.063728623597764,45,1490,0.0302013422818791,0.2,2.0,170,3,2,1.0,,0
35235,6.380501258681165,44,1490,0.0295302013422818,0.2,2.0,170,4,2,32451.0,,0
35245,6.106371722018901,43,1490,0.0288590604026845,0.2,2.0,170,1,2,23422.0,,0
35247,6.048316383240183,64,1490,0.0429530201342281,0.2,2.0,170,3,2,1.0,,0
35250,6.361703391156235,32,1490,0.021476510067114,0.2,2.0,170,3,2,5589.0,,0
35251,5.828851376486782,74,1490,0.0496644295302013,0.2,2.0,170,4,2,17618.0,,0
35264,6.536196278347933,36,1490,0.0241610738255033,0.2,2.0,170,1,2,33969.0,,0
35265,6.968253932416469,13,1490,0.0087248322147651,0.2,2.0,170,3,2,34627.0,,0
35268,6.545484877696535,30,1490,0.0201342281879194,0.2,2.0,170,1,2,128.0,,0
35269,5.677202836851489,45,1490,0.0302013422818791,0.2,2.0,170,3,2,17618.0,,0
35273,4.914743465300688,59,1490,0.0395973154362416,0.2,2.0,170,3,2,15193.0,,0
35277,5.985297514788001,28,1490,0.0187919463087248,0.2,2.0,170,2,2,33924.0,,0
35278,6.432723355043866,30,1490,0.0201342281879194,0.2,2.0,170,2,1,0.0,[35279],1
35279,6.71397756275026,24,1490,0.0161073825503355,0.2,2.0,170,2,2,35278.0,,0
35282,6.289903860239259,39,1490,0.0261744966442953,0.2,2.0,170,1,2,14645.0,,0
35290,6.316048428424033,27,1490,0.0181208053691275,0.2,2.0,170,1,2,7969.0,,0
35291,6.514744791797841,39,1490,0.0261744966442953,0.2,2.0,170,3,2,988.0,,0
35295,5.86096913914225,105,1490,0.0704697986577181,0.2,2.0,170,4,2,31425.0,,0
35296,6.168174029888354,62,1490,0.0416107382550335,0.2,2.0,170,3,2,35058.0,,0
35297,6.510294197596857,21,1490,0.0140939597315436,0.2,2.0,170,2,2,1.0,,0
35298,6.030496242209476,41,1490,0.0275167785234899,0.2,2.0,170,1,2,8209.0,,0
35300,6.531487769716278,32,1490,0.021476510067114,0.2,2.0,170,1,2,1.0,,0
35301,6.146105765216495,45,1490,0.0302013422818791,0.2,2.0,170,3,2,35133.0,,0
35302,6.744145763118557,27,1490,0.0181208053691275,0.2,2.0,170,2,2,869.0,,0
35303,6.825288583190163,19,1490,0.0127516778523489,0.2,2.0,170,1,2,13337.0,,0
35305,6.5103366582582405,25,1490,0.0167785234899328,0.2,2.0,170,3,2,27410.0,,0
35307,6.49364521841281,47,1490,0.0315436241610738,0.2,2.0,170,2,2,350.0,,0
35310,6.774261295057012,20,1490,0.0134228187919463,0.2,2.0,170,1,2,9195.0,,0
35312,6.434519790904033,49,1490,0.0328859060402684,0.2,2.0,170,3,2,33924.0,,0
35314,6.661676291269044,23,1490,0.0154362416107382,0.2,2.0,170,1,2,32335.0,,0
35318,6.079649153806484,29,1490,0.0194630872483221,0.2,2.0,170,3,2,31684.0,,0
35319,6.099634646270501,39,1490,0.0261744966442953,0.2,2.0,170,1,2,145.0,,0
35320,6.737126845857598,22,1490,0.0147651006711409,0.2,2.0,170,1,2,31684.0,,0
35322,5.978986271833044,60,1490,0.0402684563758389,0.2,2.0,170,3,2,20052.0,,0
