depth,gamma,eta,alpha,layer,node_id,parent_id,entropy,doc_count,unique_words,total_words,path
3,0.05,0.02,0.1,2,19877,,3.5239354411480868,4,180,93,
3,0.05,0.02,0.1,2,2785,,3.723213418104402,5,212,231,
3,0.05,0.02,0.1,2,14176,,3.049663536854491,5,193,131,
3,0.05,0.02,0.1,2,20234,,2.0794415416798357,2,67,16,
3,0.05,0.02,0.1,2,20235,,3.080890081894296,2,105,84,
3,0.05,0.02,0.1,2,20236,,2.1628231506188866,1,85,20,
3,0.05,0.02,0.1,2,20237,,2.8807143986561434,1,85,65,
3,0.05,0.02,0.1,2,16316,,2.8186326607411885,3,146,80,
3,0.05,0.02,0.1,2,20238,,2.8697910501961448,1,75,46,
3,0.05,0.02,0.1,2,20239,,2.890371757896164,2,103,36,
3,0.05,0.02,0.1,2,20038,,2.525728644308255,1,43,20,
3,0.05,0.02,0.1,2,20240,,3.3756755128670353,1,94,105,
3,0.05,0.02,0.1,2,19344,,1.8325814637483098,2,70,10,
3,0.05,0.02,0.1,2,20241,,2.7663607594063286,1,71,49,
3,0.05,0.02,0.1,2,19448,,2.7175627579699078,2,78,65,
3,0.05,0.02,0.1,2,20242,,2.8103290502226277,2,132,36,
3,0.05,0.02,0.1,2,20243,,2.4807829326041384,1,71,44,
3,0.05,0.02,0.1,2,20244,,2.849880396541428,3,106,33,
3,0.05,0.02,0.1,2,20245,,2.3754728087425385,1,57,21,
3,0.05,0.02,0.1,2,19836,,3.1528435261263916,2,107,61,
3,0.05,0.02,0.1,2,20144,,2.521582128346407,3,120,19,
3,0.05,0.02,0.1,2,20246,,2.5574163651539914,1,57,23,
3,0.05,0.02,0.1,2,20247,,2.9347190627331137,1,62,59,
3,0.05,0.02,0.1,2,19145,,2.888420537764903,2,92,64,
3,0.05,0.02,0.1,2,18904,,2.4892134313331584,3,125,55,
3,0.05,0.02,0.1,2,197,,2.8205527814469074,5,174,132,
3,0.05,0.02,0.1,2,17369,,3.1975259337607667,4,139,66,
3,0.05,0.02,0.1,2,20248,,2.6915403921383985,1,43,29,
3,0.05,0.02,0.1,2,17648,,2.6219042503890093,2,85,34,
3,0.05,0.02,0.1,2,20249,,2.91854263486286,1,63,36,
3,0.05,0.02,0.1,2,15740,,3.0163515607567253,3,136,70,
3,0.05,0.02,0.1,2,10085,,3.7037446921547916,6,288,185,
3,0.05,0.02,0.1,2,20250,,3.360375387141901,1,65,48,
3,0.05,0.02,0.1,2,19503,,3.29152093353876,4,128,68,
3,0.05,0.02,0.1,2,20251,,3.1925585165508275,1,83,75,
3,0.05,0.02,0.1,2,20252,,3.6116898154228054,2,142,72,
3,0.05,0.02,0.1,2,20253,,2.820236681830436,2,77,35,
3,0.05,0.02,0.1,2,20254,,2.9363088530831893,1,85,35,
3,0.05,0.02,0.1,2,20255,,3.234624181836341,3,129,80,
3,0.05,0.02,0.1,2,17830,,3.3445020379856105,2,104,120,
3,0.05,0.02,0.1,2,20256,,2.877949237897607,1,77,40,
3,0.05,0.02,0.1,2,19949,,3.234387084765534,3,121,47,
3,0.05,0.02,0.1,2,20257,,2.9185426348628605,2,60,36,
3,0.05,0.02,0.1,2,2419,,3.2132687366390114,4,157,68,
3,0.05,0.02,0.1,2,19258,,3.415134889505936,2,138,68,
3,0.05,0.02,0.1,2,20170,,3.3750551421944217,1,106,103,
3,0.05,0.02,0.1,2,19210,,2.788322503541995,2,144,33,
3,0.05,0.02,0.1,2,20258,,3.500678578983818,2,149,62,
3,0.05,0.02,0.1,2,20259,,2.4254832293171997,1,67,21,
3,0.05,0.02,0.1,2,17474,,3.085344432243677,2,135,70,
3,0.05,0.02,0.1,2,1634,,2.7916073432237534,5,216,102,
3,0.05,0.02,0.1,2,20260,,2.8528204122440326,2,107,168,
3,0.05,0.02,0.1,2,20261,,2.7785234577595954,1,57,26,
3,0.05,0.02,0.1,2,20262,,2.048804572217946,1,57,15,
3,0.05,0.02,0.1,2,19596,,3.44721034074938,5,239,130,
3,0.05,0.02,0.1,2,20263,,2.5494451709255714,1,83,32,
3,0.05,0.02,0.1,2,20264,,2.6713181918334805,1,49,42,
3,0.05,0.02,0.1,2,19005,,2.487680576670726,1,65,38,
3,0.05,0.02,0.1,2,20265,,2.5155762728442377,1,57,35,
3,0.05,0.02,0.1,2,20266,,2.978595991311003,1,68,45,
3,0.05,0.02,0.1,2,20267,,2.8498803965414283,1,84,44,
3,0.05,0.02,0.1,2,17014,,3.0302305907782072,3,151,85,
3,0.05,0.02,0.1,2,3750,,3.7088302405332843,4,221,180,
3,0.05,0.02,0.1,2,19746,,2.687014746676307,2,94,59,
3,0.05,0.02,0.1,2,18513,,2.9394535097626617,1,60,49,
3,0.05,0.02,0.1,2,19789,,2.6935871390746553,2,97,31,
3,0.05,0.02,0.1,2,20268,,2.682806712169644,1,72,58,
3,0.05,0.02,0.1,2,20269,,2.7229758513188855,1,79,45,
3,0.05,0.02,0.1,2,20270,,2.6765515340428387,1,38,25,
3,0.05,0.02,0.1,2,17097,,2.1815217753415523,2,91,49,
3,0.05,0.02,0.1,2,20271,,1.8128128784258877,1,48,24,
3,0.05,0.02,0.1,2,20182,,2.8748675713601997,1,106,48,
3,0.05,0.02,0.1,2,29,,3.5297582904904186,9,292,250,
3,0.05,0.02,0.1,2,19659,,2.8205979414261417,2,105,64,
3,0.05,0.02,0.1,2,19984,,2.47166142303798,2,106,30,
3,0.05,0.02,0.1,2,20272,,3.154402342265985,1,73,62,
3,0.05,0.02,0.1,2,20273,,3.8113351631824584,3,222,142,
3,0.05,0.02,0.1,2,20274,,3.0445224377234235,1,109,63,
3,0.05,0.02,0.1,2,19961,,2.1931008601523576,3,108,22,
3,0.05,0.02,0.1,2,20275,,3.027466368958211,1,72,47,
3,0.05,0.02,0.1,2,20276,,2.2820043852940244,2,127,46,
3,0.05,0.02,0.1,2,13320,,3.7410463222565578,4,201,246,
3,0.05,0.02,0.1,2,20277,,2.959155948247133,1,63,37,
3,0.05,0.02,0.1,2,20278,,2.5218693549701867,1,53,41,
3,0.05,0.02,0.1,2,20279,,3.1466950498770454,1,60,67,
3,0.05,0.02,0.1,2,20280,,2.2700619012884857,1,43,22,
3,0.05,0.02,0.1,2,20281,,2.521582128346407,1,57,19,
3,0.05,0.02,0.1,2,20282,,2.730335245891645,1,62,33,
3,0.05,0.02,0.1,2,20177,,0.0,1,60,0,
3,0.05,0.02,0.1,2,20283,,2.9239883686951504,1,91,44,
3,0.05,0.02,0.1,2,20284,,2.4475508632442313,1,60,34,
3,0.05,0.02,0.1,2,20195,,-0.0,1,46,1,
3,0.05,0.02,0.1,2,20174,,3.0576962809415944,1,47,41,
3,0.05,0.02,0.1,2,19771,,2.938783921683096,2,120,46,
3,0.05,0.02,0.1,2,20185,,2.6874694934021894,2,73,46,
3,0.05,0.02,0.1,2,20285,,3.1271970525648776,2,132,71,
3,0.05,0.02,0.1,2,20286,,1.7917594692280545,1,84,18,
3,0.05,0.02,0.1,2,20176,,2.9184634927631796,2,115,38,
3,0.05,0.02,0.1,2,20287,,2.048804572217946,1,53,15,
3,0.05,0.02,0.1,2,20288,,2.8326189903983026,1,77,58,
3,0.05,0.02,0.1,2,20289,,2.929177332317961,1,55,51,
3,0.05,0.02,0.1,2,17058,,3.008764850119017,3,144,73,
3,0.05,0.02,0.1,2,20290,,3.0046476372119426,1,70,52,
3,0.05,0.02,0.1,2,20291,,2.7732464006587523,1,58,39,
3,0.05,0.02,0.1,2,20292,,2.6447880043242438,1,95,35,
3,0.05,0.02,0.1,2,20293,,2.0592388343623163,1,45,28,
3,0.05,0.02,0.1,2,20083,,3.2515439117363267,2,101,74,
3,0.05,0.02,0.1,2,20294,,1.9139271032022631,1,60,40,
3,0.05,0.02,0.1,2,20186,,2.677893638199358,1,89,53,
3,0.05,0.02,0.1,2,20295,,2.97515156585397,1,81,69,
3,0.05,0.02,0.1,2,20296,,2.9773831348857938,1,54,36,
3,0.05,0.02,0.1,2,20297,,3.3263186779979432,1,114,77,
3,0.05,0.02,0.1,2,20298,,2.938715593113756,1,75,56,
3,0.05,0.02,0.1,2,20299,,3.147282171681192,1,102,64,
3,0.05,0.02,0.1,2,20300,,2.4841510774060023,1,49,63,
